instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,usage_level
1,2011-01-01,Spring,0,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,Very Low Usage
2,2011-01-02,Spring,0,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,Very Low Usage
3,2011-01-03,Spring,0,1,0,1,1,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Very Low Usage
4,2011-01-04,Spring,0,1,0,2,1,Clear,0.2,0.212122,0.590435,0.160296,108,1454,1562,Low Usage
5,2011-01-05,Spring,0,1,0,3,1,Clear,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Low Usage
6,2011-01-06,Spring,0,1,0,4,1,Clear,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Low Usage
7,2011-01-07,Spring,0,1,0,5,1,Mist,0.196522,0.208839,0.498696,0.168726,148,1362,1510,Low Usage
8,2011-01-08,Spring,0,1,0,6,0,Mist,0.165,0.162254,0.535833,0.266804,68,891,959,Very Low Usage
9,2011-01-09,Spring,0,1,0,0,0,Clear,0.138333,0.116175,0.434167,0.36195,54,768,822,Very Low Usage
10,2011-01-10,Spring,0,1,0,1,1,Clear,0.150833,0.150888,0.482917,0.223267,41,1280,1321,Very Low Usage
11,2011-01-11,Spring,0,1,0,2,1,Mist,0.169091,0.191464,0.686364,0.122132,43,1220,1263,Very Low Usage
12,2011-01-12,Spring,0,1,0,3,1,Clear,0.172727,0.160473,0.599545,0.304627,25,1137,1162,Very Low Usage
13,2011-01-13,Spring,0,1,0,4,1,Clear,0.165,0.150883,0.470417,0.301,38,1368,1406,Very Low Usage
14,2011-01-14,Spring,0,1,0,5,1,Clear,0.16087,0.188413,0.537826,0.126548,54,1367,1421,Very Low Usage
15,2011-01-15,Spring,0,1,0,6,0,Mist,0.233333,0.248112,0.49875,0.157963,222,1026,1248,Very Low Usage
16,2011-01-16,Spring,0,1,0,0,0,Clear,0.231667,0.234217,0.48375,0.188433,251,953,1204,Very Low Usage
17,2011-01-17,Spring,0,1,1,1,0,Mist,0.175833,0.176771,0.5375,0.194017,117,883,1000,Very Low Usage
18,2011-01-18,Spring,0,1,0,2,1,Mist,0.216667,0.232333,0.861667,0.146775,9,674,683,Very Low Usage
19,2011-01-19,Spring,0,1,0,3,1,Mist,0.292174,0.298422,0.741739,0.208317,78,1572,1650,Low Usage
20,2011-01-20,Spring,0,1,0,4,1,Mist,0.261667,0.25505,0.538333,0.195904,83,1844,1927,Low Usage
21,2011-01-21,Spring,0,1,0,5,1,Clear,0.1775,0.157833,0.457083,0.353242,75,1468,1543,Low Usage
22,2011-01-22,Spring,0,1,0,6,0,Clear,0.0591304,0.0790696,0.4,0.17197,93,888,981,Very Low Usage
23,2011-01-23,Spring,0,1,0,0,0,Clear,0.0965217,0.0988391,0.436522,0.2466,150,836,986,Very Low Usage
24,2011-01-24,Spring,0,1,0,1,1,Clear,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,Very Low Usage
25,2011-01-25,Spring,0,1,0,2,1,Mist,0.223478,0.234526,0.616957,0.129796,186,1799,1985,Low Usage
26,2011-01-26,Spring,0,1,0,3,1,Light Snow,0.2175,0.2036,0.8625,0.29385,34,472,506,Very Low Usage
27,2011-01-27,Spring,0,1,0,4,1,Clear,0.195,0.2197,0.6875,0.113837,15,416,431,Very Low Usage
28,2011-01-28,Spring,0,1,0,5,1,Mist,0.203478,0.223317,0.793043,0.1233,38,1129,1167,Very Low Usage
29,2011-01-29,Spring,0,1,0,6,0,Clear,0.196522,0.212126,0.651739,0.145365,123,975,1098,Very Low Usage
30,2011-01-30,Spring,0,1,0,0,0,Clear,0.216522,0.250322,0.722174,0.0739826,140,956,1096,Very Low Usage
31,2011-01-31,Spring,0,1,0,1,1,Mist,0.180833,0.18625,0.60375,0.187192,42,1459,1501,Low Usage
32,2011-02-01,Spring,0,2,0,2,1,Mist,0.192174,0.23453,0.829565,0.053213,47,1313,1360,Very Low Usage
33,2011-02-02,Spring,0,2,0,3,1,Mist,0.26,0.254417,0.775417,0.264308,72,1454,1526,Low Usage
34,2011-02-03,Spring,0,2,0,4,1,Clear,0.186957,0.177878,0.437826,0.277752,61,1489,1550,Low Usage
